Rank	Gene	Publication.count	Fraction.of.publications.from.total.gene.publication	go
72	TLR9	30	0.0421	not_go
73	TNFRSF1A	30	0.0528	not_go
63	CCL5	31	0.048	go
64	FOXP3	31	0.032	go
65	NDOR1	31	0.139	not_go
66	RELA	31	0.0322	not_go
67	S100A8	31	0.1065	go
62	CCR5	34	0.0313	not_go
58	CHI3L1	35	0.0831	not_go
59	CXCL10	35	0.0602	not_go
60	HIF1A	35	0.0115	not_go
61	MPO	35	0.057	not_go
55	CD14	36	0.0436	not_go
56	IL13	36	0.0531	not_go
57	LCN2	36	0.0527	not_go
53	CXXC1P1	37	0.0456	not_go
54	IL4	37	0.0302	go
51	IL1A	39	0.0414	not_go
52	PPARG	39	0.0183	not_go
48	BBS9	40	0.0272	not_go
49	MIF	40	0.0571	not_go
50	PTX3	40	0.107	not_go
46	KRT25	41	0.0728	not_go
47	LEP	41	0.0241	not_go
42	NOD2	42	0.0407	not_go
43	NOS2	42	0.0482	not_go
44	RPIA	42	0.0429	not_go
45	S100A9	42	0.0988	go
41	MIR6857	44	0.1117	not_go
39	NFE2L2	45	0.0354	not_go
40	TP53	45	0.0049	not_go
38	AL359313.1	46	0.0671	not_go
37	ICAM1	49	0.0434	not_go
35	HAMP	50	0.1071	not_go
36	LINC01582	50	0.072	not_go
34	IL1RN	51	0.0465	not_go
32	FOXO6	52	0.0481	not_go
33	SRL	52	0.0513	not_go
31	C5orf52	53	0.0457	not_go
28	ADIPOQ	55	0.0236	not_go
29	IL33	55	0.1032	not_go
30	STAT3	55	0.0204	not_go
27	AGER	56	0.0643	not_go
26	IL18	60	0.0557	not_go
25	GOLGA6B	64	0.0595	not_go
23	MMP9	70	0.0242	not_go
24	TCEAL4	70	0.0926	not_go
22	NLRP3	71	0.0975	not_go
20	CCL2	73	0.052	not_go
21	SIRT6	73	0.0531	not_go
19	VEGFA	74	0.0156	not_go
18	IFNG	79	0.0419	not_go
17	TTTY13	80	0.092	not_go
16	HMGB1	82	0.0818	not_go
15	TLR2	85	0.0586	not_go
14	NFKB1	94	0.0339	not_go
12	MIR4662B	96	0.0937	not_go
13	NCOR1	96	0.0575	not_go
11	LINC01589	101	0.0569	not_go
10	PTGS2	104	0.0463	not_go
9	TGFB1	127	0.0283	not_go
8	IL17A	136	0.1063	not_go
7	TLR4	147	0.0584	not_go
6	CXCL8	165	0.0754	not_go
5	IL10	166	0.0495	go
4	IL1B	195	0.066	not_go
3	CRP	224	0.1005	not_go
2	IL6	300	0.062	not_go
1	TNF	310	0.05	go
