struct_id,atc_code,id
2443,A05BA03,171
665,A05BA04,172
1033,A05BA05,173
4680,A05BA06,174
4735,A05BA07,175
1325,A05BA08,176
941,A06AA02,177
2038,A06AB01,178
375,A06AB02,179
3125,A06AB03,180
2135,A06AB04,181
4779,A06AB08,182
4356,A06AB09,183
4288,A06AD01,184
4293,A06AD02,185
4595,A06AD03,186
4290,A06AD04,187
1536,A06AD11,188
1534,A06AD12,189
4212,A06AD13,190
2085,A06AD14,191
4253,A06AD15,192
935,A06AD16,193
4219,A06AD17,194
2462,A06AD18,195
4281,A06AD19,196
4780,A06AD21,197
4219,A06AG01,198
375,A06AG02,199
1316,A06AG04,200
2462,A06AG07,201
4616,A06AH01,202
143,A06AH02,203
4832,A06AH03,204
1878,A06AH04,205
5220,A06AH05,206
1316,A06AX01,207
4123,A06AX03,208
4622,A06AX04,209
3502,A06AX05,210
2579,A06AX06,211
5208,A06AX07,212
5349,A06AX08,213
4247,A07AA01,214
1977,A07AA02,215
1885,A07AA03,216
2481,A07AA04,217
4246,A07AA05,218
2067,A07AA06,219
197,A07AA07,220
1519,A07AA08,221
2807,A07AA09,222
4425,A07AA10,223
2379,A07AA11,224
4180,A07AA12,225
4817,A07AA13,226
2158,A07AB02,227
2505,A07AB03,228
2490,A07AB04,229
1800,A07AC01,230
412,A07AX01,231
55,A07AX02,232
1928,A07AX03,233
1931,A07AX04,234
4278,A07BC03,235
918,A07DA01,236
1599,A07DA03,237
878,A07DA04,238
1600,A07DA05,239
5001,A07DA06,240
2245,A07EA01,241
1388,A07EA02,242
2253,A07EA03,243
348,A07EA04,244
4064,A07EA05,245
419,A07EA06,246
741,A07EB01,247
2525,A07EC01,248
1710,A07EC02,249
1988,A07EC03,250
284,A07EC04,251
60,A07XA04,252
4744,A07XA06,253
2140,A08AA01,254
1150,A08AA02,255
874,A08AA03,256
832,A08AA04,257
1640,A08AA05,258
1100,A08AA06,259
3389,A08AA07,260
684,A08AA08,261
1664,A08AA09,262
2440,A08AA10,263
4374,A08AA11,264
1996,A08AB01,265
4150,A08AX01,266
1310,A09AB01,267
347,A09AB02,268
4568,A09AB03,269
666,A09AB04,270
5003,A10AB01,271
5192,A10AB02,272
5191,A10AB03,273
5002,A10AB04,274
4981,A10AB05,275
5057,A10AB06,276
5003,A10AC01,277
5192,A10AC02,278
5191,A10AC03,279
5002,A10AC04,280
5003,A10AD01,281
5192,A10AD02,282
5191,A10AD03,283
5002,A10AD04,284
4981,A10AD05,285
5003,A10AE01,286
5192,A10AE02,287
5191,A10AE03,288
4901,A10AE04,289
4985,A10AE05,290
4960,A10AE06,291
5003,A10AF01,292
2126,A10BA01,293
1725,A10BA02,294
423,A10BA03,295
1314,A10BB01,296
622,A10BB02,297
2696,A10BB03,298
1298,A10BB04,299
2694,A10BB05,300
505,A10BB06,301
1301,A10BB07,302
1302,A10BB08,303
1299,A10BB09,304
1717,A10BB10,305
1305,A10BB11,306
1300,A10BB12,307
57,A10BB31,308
1321,A10BC01,309
39,A10BF01,310
1806,A10BF02,311
2845,A10BF03,312
2767,A10BG01,313
2405,A10BG02,314
2179,A10BG03,315
5078,A10BG04,316
2448,A10BH01,317
3642,A10BH02,318
4114,A10BH03,319
4340,A10BH04,320
4175,A10BH05,321
4833,A10BH06,322
5239,A10BH07,323
4895,A10BH08,324
1123,A10BJ01,325
4164,A10BJ02,326
4815,A10BJ03,327
4927,A10BJ04,328
4885,A10BJ05,329
5267,A10BJ06,330
4304,A10BK01,331
4758,A10BK02,332
4830,A10BK03,333
5270,A10BK04,334
4890,A10BK05,335
5339,A10BK06,336
4891,A10BK07,337
