Entrez	GeneSymbol	GeneType	UMLS_CUI	Disease	TraitType	Cluster
57573	ZNF471	seed	C0009402	Colorectal_Carcinoma	Complex Disease	Colorectal_Carcinoma_310
51761	ATP8A2	predicted	C0009402	Colorectal_Carcinoma	Complex Disease	Colorectal_Carcinoma_311
150962	PUS10	seed	C0009402	Colorectal_Carcinoma	Complex Disease	Colorectal_Carcinoma_312
113235	SLC46A1	predicted	C0009402	Colorectal_Carcinoma	Complex Disease	Colorectal_Carcinoma_313
139378	ADGRG4	predicted	C0009402	Colorectal_Carcinoma	Complex Disease	Colorectal_Carcinoma_314
57677	ZFP14	predicted	C0009402	Colorectal_Carcinoma	Complex Disease	Colorectal_Carcinoma_315
342926	ZNF677	predicted	C0009402	Colorectal_Carcinoma	Complex Disease	Colorectal_Carcinoma_316
59352	LGR6	seed	C0009402	Colorectal_Carcinoma	Complex Disease	Colorectal_Carcinoma_317
64399	HHIP	seed	C0009402	Colorectal_Carcinoma	Complex Disease	Colorectal_Carcinoma_318
78996	CYREN	seed	C0009402	Colorectal_Carcinoma	Complex Disease	Colorectal_Carcinoma_319
124936	CYB5D2	seed	C0009402	Colorectal_Carcinoma	Complex Disease	Colorectal_Carcinoma_320
169166	SNX31	predicted	C0009402	Colorectal_Carcinoma	Complex Disease	Colorectal_Carcinoma_2
116135	LRRC3B	seed	C0009402	Colorectal_Carcinoma	Complex Disease	Colorectal_Carcinoma_321
219770	GJD4	seed	C0009402	Colorectal_Carcinoma	Complex Disease	Colorectal_Carcinoma_322
167555	FAM151B	predicted	C0009402	Colorectal_Carcinoma	Complex Disease	Colorectal_Carcinoma_323
133688	UGT3A1	predicted	C0009402	Colorectal_Carcinoma	Complex Disease	Colorectal_Carcinoma_324
114788	CSMD3	seed	C0009402	Colorectal_Carcinoma	Complex Disease	Colorectal_Carcinoma_325
285220	EPHA6	predicted	C0009402	Colorectal_Carcinoma	Complex Disease	Colorectal_Carcinoma_326
1026	CDKN1A	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
2886	GRB7	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
354	KLK3	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
3309	HSPA5	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
3316	HSPB2	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
3553	IL1B	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_9
3565	IL4	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
3586	IL10	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_10
3845	KRAS	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
3952	LEP	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_11
7001	PRDX2	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
7052	TGM2	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
112398	EGLN2	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_7
472	ATM	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_6
1029	CDKN2A	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
2064	ERBB2	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
6794	STK11	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_4
7490	WT1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_6
4790	NFKB1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
1956	EGFR	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
1017	CDK2	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
2023	ENO1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
3320	HSP90AA1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_4
4436	MSH2	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
4914	NTRK1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
3939	LDHA	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
6648	SOD2	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
5970	RELA	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
25	ABL1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
598	BCL2L1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_5
672	BRCA1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
842	CASP9	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_5
847	CAT	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
1027	CDKN1B	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
2065	ERBB3	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
2066	ERBB4	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
2475	MTOR	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
3329	HSPD1	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
3716	JAK1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
3725	JUN	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
4193	MDM2	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_6
4582	MUC1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
4792	NFKBIA	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_5
7157	TP53	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_6
3265	HRAS	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
6774	STAT3	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
768	CA9	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_4
4869	NPM1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
5728	PTEN	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_4
23411	SIRT1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
55781	RIOK2	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
1509	CTSD	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
3945	LDHB	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
999	CDH1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_4
9820	CUL7	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
54205	CYCS	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_5
207	AKT1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
2271	FH	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
43	ACHE	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_12
2932	GSK3B	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
7030	TFE3	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_7
55294	FBXW7	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_4
142685	ASB15	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_7
4074	M6PR	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
5894	RAF1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
1969	EPHA2	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_4
3791	KDR	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
7124	TNF	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_5
8743	TNFSF10	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_5
2033	EP300	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
6198	RPS6KB1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_4
6598	SMARCB1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_6
6876	TAGLN	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
7248	TSC1	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
1265	CNN2	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_8
1387	CREBBP	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
2950	GSTP1	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
3778	KCNMA1	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_13
9045	RPL14	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
120892	LRRK2	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_4
238	ALK	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_4
367	AR	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
2099	ESR1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
4255	MGMT	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
6927	HNF1A	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
7428	VHL	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_7
1612	DAPK1	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_6
2597	GAPDH	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
23224	SYNE2	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
2146	EZH2	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
4292	MLH1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
10397	NDRG1	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
3315	HSPB1	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_5
79026	AHNAK	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
8289	ARID1A	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_6
55193	PBRM1	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_6
8242	KDM5C	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_14
657	BMPR1A	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_4
331	XIAP	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_5
95	ACY1	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
6647	SOD1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
353	APRT	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
822	CAPG	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_6
1728	NQO1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_6
836	CASP3	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_5
841	CASP8	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_5
1508	CTSB	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_4
1786	DNMT1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
3091	HIF1A	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_7
4771	NF2	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
5241	PGR	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
1938	EEF2	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
3313	HSPA9	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
3418	IDH2	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
3570	IL6R	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
5162	PDHB	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
6921	ELOC	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_7
112399	EGLN3	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_7
5037	PEBP1	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
5159	PDGFRB	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
2936	GSR	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
3417	IDH1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
3897	L1CAM	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
4915	NTRK2	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_4
25953	PNKD	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_6
56616	DIABLO	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_5
79444	BIRC7	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_5
55367	PIDD1	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_5
3717	JAK2	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
5594	MAPK1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
5468	PPARG	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
4780	NFE2L2	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
23476	BRD4	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
9817	KEAP1	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
2309	FOXO3	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
4089	SMAD4	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
5058	PAK1	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
5290	PIK3CA	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
5599	MAPK8	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_5
7249	TSC2	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
171023	ASXL1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
208	AKT2	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
210	ALAD	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_8
1410	CRYAB	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_5
216	ALDH1A1	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_15
5230	PGK1	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
5609	MAP2K7	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_4
8407	TAGLN2	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
3718	JAK3	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_3
3875	KRT18	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_4
240	ALOX5	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_16
1021	CDK6	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
7010	TEK	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_6
57731	SPTBN4	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
595	CCND1	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
2261	FGFR3	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_4
307	ANXA4	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_1
308	ANXA5	predicted	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_2
3856	KRT8	seed	C0279702	Conventional_Clear_Cell_Renal_Cell_Carcinoma	Complex Disease	Conventional_Clear_Cell_Renal_Cell_Carcinoma_4
